Name of the source,Country,Web link,Facebook link,YouTube link,Twitter Link,Source Type,Standards,Ownership Location,Political Leaning,Electoral Leaning,Geo-Political,Readership,Longevity,,,,,,,,,,,,,
Ambasada USA in Romania,RO,,https://www.facebook.com/bucharest.usembassy/,,,,Quality,,,,,,,,,,,,,,,,,,,
Ambasada Suediei in Romania,RO,,https://www.facebook.com/SverigesAmbassadiBukarest/,,,,Quality,,,,,,,,,,,,,,,,,,,
Claudiu Pandaru,RO,,https://www.facebook.com/claudiu.pandaru/,,,,Quality,,,,,,,,,,,,,,,,,,,
Cap Limpede,RO,,https://www.facebook.com/CapLimpedeRomania/,,,,Quality,,,,,,,,,,,,,,,,,,,
Florin Negrutiu,RO,,https://www.facebook.com/negrutiu.florin/,,,,Quality,,,,,,,,,,,,,,,,,,,
Casa Jurnalistului,RO,,https://www.facebook.com/casa.jurnalistului/,,,,Quality,,,,,,,,,,,,,,,,,,,
Andrei Plesu,RO,,https://www.facebook.com/aplesuneoficial,,,,Quality,,,,,,,,,,,,,,,,,,,
Andreea Paul,RO,,https://www.facebook.com/andreea.maria.paul/,,,,Quality,,,,,,,,,,,,,,,,,,,
Marius Manole,RO,,https://www.facebook.com/mariusmanoleoficial/,,,,Quality,,,,,,,,,,,,,,,,,,,
Dragos Bucurenci,RO,,https://www.facebook.com/dbucurenci/,,,,Quality,,,,,,,,,,,,,,,,,,,
Simona Tache,RO,,https://www.facebook.com/SimonaTache.ro/,,,,Quality,,,,,,,,,,,,,,,,,,,
Cristian Ghinea,RO,,https://www.facebook.com/Cristian.Ghinea.Oficial/,,,,Quality,,,,,,,,,,,,,,,,,,,
Ana Birchal,RO,,https://www.facebook.com/birchallana/,,,,Quality,,,,,,,,,,,,,,,,,,,
Repatriot,RO,,https://www.facebook.com/repatriot/,,,,Quality,,,,,,,,,,,,,,,,,,,
Gheorghe Piperea,RO,,https://www.facebook.com/gheorghe.piperea/,,,,Quality,,,,,,,,,,,,,,,,,,,
Dan Tăpălagă,RO,,https://www.facebook.com/DanTapalagaOficial/,,,,Quality,,,,,,,,,,,,,,,,,,,
Ministerul Afacerilor Externe,RO,,https://www.facebook.com/mae.romania/,,,,Quality,,,,,,,,,,,,,,,,,,,
Vlad Craioveanu,RO,,https://www.facebook.com/VladCraioveanuOfficial/,,,,Quality,,,,,,,,,,,,,,,,,,,
Robert Turcescu,RO,,https://www.facebook.com/turcescu/,,,,Quality,,,,,,,,,,,,,,,,,,,
Economica,RO,,https://www.facebook.com/ECONOMICA.net/,,,,Quality,,,,,,,,,,,,,,,,,,,
Adelin Petrișor,RO,,https://www.facebook.com/adelinpetrisor/,,,,Quality,,,,,,,,,,,,,,,,,,,
funky citizens,RO,,https://www.facebook.com/funkycitizens/,,,,Quality,,,,,,,,,,,,,,,,,,,
Mihai Dobrovolschi,RO,,https://www.facebook.com/estedobro/,,,,Quality,,,,,,,,,,,,,,,,,,,
Impact Hub Bucharest,RO,,https://www.facebook.com/ImpactHubBucharest/,,,,Quality,,,,,,,,,,,,,,,,,,,
Factual,RO,,https://www.facebook.com/factual.ro/,,,,Quality,,,,,,,,,,,,,,,,,,,
Cristian Seidler,RO,,https://www.facebook.com/Cristian.Seidler.USR/,,,,Quality,,,,,,,,,,,,,,,,,,,
Cristian Danileț,RO,,https://www.facebook.com/jud.Cristi.Danilet/,,,,Quality,,,,,,,,,,,,,,,,,,,
Institutul pentru Politici Publice,RO,,https://www.facebook.com/InstitutulPoliticiPublice/,,,,Quality,,,,,,,,,,,,,,,,,,,
Scena 9,RO,,https://www.facebook.com/scenanoua/,,,,Quality,,,,,,,,,,,,,,,,,,,
Cristian Ghica,RO,,https://www.facebook.com/senatorcristianghica/,,,,Quality,,,,,,,,,,,,,,,,,,,
Zoso.ro,RO,,https://www.facebook.com/zoso.ro/,,,,Quality,,,,,,,,,,,,,,,,,,,
Vlad Petreanu,RO,,https://www.facebook.com/petreanu.vlad/,,,,Quality,,,,,,,,,,,,,,,,,,,
Lucian Mândruță,RO,,https://www.facebook.com/LucianMindrutaLive/,,,,Quality,,,,,,,,,,,,,,,,,,,
Ambasada Marii Britanii,RO,,https://www.facebook.com/BritishEmbassyBucharest/,,,,Quality,,,,,,,,,,,,,,,,,,,
Ema Zeicescu,RO,,https://www.facebook.com/Zeiceasca/,,,,Quality,,,,,,,,,,,,,,,,,,,
Code 4 Romania,RO,,https://www.facebook.com/code4romania/,,,,Quality,,,,,,,,,,,,,,,,,,,
Ambasada Germaniei,RO,,https://www.facebook.com/AmbasadaGermaniei/,,,,Quality,,,,,,,,,,,,,,,,,,,
Centrul Ceh,RO,,https://www.facebook.com/centrulceh/,,,,Quality,,,,,,,,,,,,,,,,,,,
Active Watch,RO,,https://www.facebook.com/ActiveWatch/,,,,Quality,,,,,,,,,,,,,,,,,,,
romanian business leaders,RO,,https://www.facebook.com/fundatiaRBL/,,,,Quality,,,,,,,,,,,,,,,,,,,
Sorin Ioniță,RO,,https://www.facebook.com/sorin.ionita.16,,,,Quality,,,,,,,,,,,,,,,,,,,
FairPress,RO,,https://www.facebook.com/fairpress.eu/,,,,Quality,,,,,,,,,,,,,,,,,,,
Friends for Friends,RO,,https://www.facebook.com/FundatiaFriendsForFriends/,,,,Quality,,,,,,,,,,,,,,,,,,,
